Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,0.0,0.0,0.0,1218.0,38.0,43.0,1218.0,0.1,141.1100134781231,0.0,0.0,129.0885148048401,,,,,,,,,,,,,,,,,,,,,60.45961777380898,35.77414463795809,117.44962538045625,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0,0.0,0.0,1237.0,39.0,19.0,1237.0,0.1,56.25499999999999,0.0,0.0,131.36664247512817,,,,,,,,,,,,,,,,,,,,,27.883009834145057,16.240538626428172,51.99186627029122,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,0.0,1265.0,40.0,28.0,1265.0,0.1,85.75440499796676,0.0,0.0,134.5220673084259,,,,,,,,,,,,,,,,,,,,,39.96490153859481,23.306528767979785,76.07818851868196,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0,0.0,0.0,1305.0,41.0,40.0,1305.0,0.1,131.2468529985505,0.0,0.0,138.94818902015686,,,,,,,,,,,,,,,,,,,,,57.662176147285244,33.94920097757423,110.37851498789549,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0,0.0,0.0,1358.0,42.0,53.0,1358.0,0.1,180.5701228188801,0.0,0.0,144.30294680595398,,,,,,,,,,,,,,,,,,,,,75.71553923454532,42.96104800529023,143.2924059020212,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,0.0,0.0,1397.0,43.0,39.0,1397.0,0.1,128.2451144908282,0.0,0.0,148.34688663482666,,,,,,,,,,,,,,,,,,,,,56.01279072903453,33.41986936560201,108.56047965157099,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0,0.0,0.0,1430.0,44.0,33.0,1430.0,0.1,102.75444230833298,0.0,0.0,151.81263637542725,,,,,,,,,,,,,,,,,,,,,46.79353790935789,26.935403136277053,89.0853737355829,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0,0.0,0.0,1443.0,45.0,13.0,1443.0,0.1,43.15220004406759,0.0,0.0,153.70822620391846,,,,,,,,,,,,,,,,,,,,,23.73527493705124,12.330578562801735,40.88012886669822,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,0.0,0.0,1473.0,46.0,30.0,1473.0,0.1,90.71869105100609,0.0,0.0,156.9054639339447,,,,,,,,,,,,,,,,,,,,,41.84970280032829,24.527535348803855,79.7508215599506,2.6645783632955373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0,0.0,0.0,1500.0,47.0,27.0,1500.0,0.1,86.53142363492984,0.0,0.0,159.8535668849945,,,,,,,,,,,,,,,,,,,,,41.379800714884716,23.65376268757727,76.88896790318435,2.4879649407410707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
